OBJECTID	ORIG_FID	MBG_Diameter	Shape_Length	Shape_Area	OBJECTID_1	IN_FID	NEAR_FID	NEAR_DIST	NEAR_RANK	OBJECTID_12	ORIG_FID_1	X	Y	RASTERVALU	OBJECTID_12_13	Shape_Length_1	Shape_Area_1	Color
1	1	18.59299391	58.411786	271.5132991	70	2	1	734021.6181	70	1	1	-5885014	1049173.5	-2063	1	51.74401105	194.3143774	
2	2	14.49624952	45.54153368	165.046166	76	2	2	734057.8353	76	2	2	-5885043.5	1049185.25	-2063	2	36.86775263	96.28951281	2
3	3	6.81014303	21.39470071	36.42525216	77	2	3	734075.4578	77	3	3	-5885048	1049214.625	-2063	3	19.07413775	27.83326943	2
4	4	17.6748869	55.52758256	245.3622068	60	2	4	733984.0756	60	4	4	-5884956.5	1049215	-2063	4	50.10570208	188.2191887	2
5	5	10.92786471	34.3306962	93.78974548	82	2	5	734182.4094	82	5	5	-5885126	1049298.75	-2069	5	31.04746511	73.15367923	2
6	6	45.22770473	142.0867846	1606.562067	74	2	6	734035.8897	74	6	6	-5885000	1049270.625	-2063	6	121.2425797	1058.599192	2
7	7	11.08272425	34.81743563	96.46809415	81	2	7	734175.2801	81	7	7	-5885121	1049289.375	-2069	7	28.39701282	46.95645438	2
8	8	37.65221766	118.2877738	1113.447778	80	2	8	734126.6019	80	8	8	-5885082	1049294	-2069	8	105.1494138	713.9372981	2
9	9	11.6559861	36.61840397	106.7060292	87	2	9	734242.0111	87	9	9	-5885196	1049283.625	-2069	9	33.48387548	82.12992663	2
10	10	6.271661108	19.70326732	30.89346599	83	2	10	734197.7318	83	10	10	-5885160	1049252.75	-2069	10	18.07312583	25.02539266	2
11	11	18.19112569	57.14923744	259.9028344	50	2	11	733874.3366	50	11	11	-5884947.5	1048973.5	-2058	11	48.07133455	158.655418	2
12	12	13.08510662	41.10812595	134.47622	52	2	12	733884.1649	52	12	12	-5884941	1049003.375	-2058	12	35.58255069	93.35325392	2
13	13	9.263870844	29.10333656	67.40245255	56	2	13	733916.5864	56	13	13	-5884960.5	1049033.25	-2063	13	27.40571821	58.48601416	2
