OBJECTID	ORIG_FID	MBG_Diameter	Shape_Length	Shape_Area	OBJECTID_1	IN_FID	NEAR_FID	NEAR_DIST	NEAR_RANK	OBJECTID_12	ORIG_FID_1	RASTERVALU	X	Y
1	1	85.73163123	269.3336876	5772.600338	81	2	1	1063459.346	81	1	1	-173	-5961507.5	1274751.75
2	3	132.9139886	417.5618902	13874.96338	93	2	3	1063543.162	93	2	3	-173	-5961592.5	1274820.25
3	4	164.6752695	517.3425596	21298.37899	68	2	4	1063386.698	68	3	4	-173	-5961364	1274957
4	6	74.52539322	234.128526	4362.131946	99	2	6	1063572.829	99	4	6	-173	-5961533	1274910.125
5	7	47.31242606	148.6361239	1758.080994	100	2	7	1063577.115	100	5	7	-162	-5961475	1274996.125
6	8	63.2647153	198.7519167	3143.495097	101	2	8	1063579.429	101	6	8	-162	-5961504	1274973.75
7	9	123.2052909	387.0606349	11921.97331	73	2	9	1063403.109	73	7	9	-173	-5961412.5	1274853.125
8	10	38.82214887	121.9635914	1183.724249	94	2	10	1063543.847	94	8	10	-173	-5961515.5	1274861.125
9	11	22.9584184	72.12598701	413.9745804	95	2	11	1063548.254	95	9	11	-173	-5961483	1274914.25
10	12	84.08961078	264.1755799	5553.611233	20	2	12	1062976.995	20	10	12	-167	-5961027.5	1274645
11	13	35.02072207	110.0210841	963.2565616	25	2	13	1063021.899	25	11	13	-167	-5961034	1274702
12	14	48.09616738	151.0984352	1816.812333	9	2	14	1062846.117	9	12	14	-159	-5960836.5	1274732.375
13	15	65.55567723	205.9494745	3375.293261	10	2	15	1062881.022	10	13	15	-167	-5960966	1274575
14	16	33.42673204	105.01324	877.562895	7	2	16	1062838.065	7	14	16	-159	-5960907.5	1274570.75
15	17	433.0017561	1360.315287	147254.7435	17	2	17	1062943.322	17	15	17	-167	-5961191.5	1274663.5
16	18	36.78195581	115.5536145	1062.569157	39	2	18	1063124.596	39	16	18	-167	-5961076.5	1274831.75
17	19	42.7859896	134.4164323	1437.788032	33	2	19	1063072.004	33	17	19	-167	-5961016	1274839.875
18	20	52.00962536	163.3932202	2124.507166	98	2	20	1063566.145	98	18	20	-162	-5961390.5	1275133.125
19	21	50.68584921	159.2345567	2017.738044	90	2	21	1063518.428	90	19	21	-162	-5961353.5	1275123.5
20	22	54.38412708	170.8530519	2322.927299	79	2	22	1063457.887	79	20	22	-156	-5961299	1275135
21	25	26.72522711	83.95972699	560.9603578	74	2	25	1063417.48	74	21	25	-156	-5961257.5	1275069.125
22	26	25.31976411	79.54418351	503.5087158	75	2	26	1063419.069	75	22	26	-156	-5961240.5	1275096.125
23	29	30.39457233	95.48713791	725.5709533	67	2	29	1063384.582	67	23	29	-156	-5961212	1275085.25
24	30	44.65391299	140.2846628	1566.067659	58	2	30	1063325.525	58	24	30	-156	-5961206	1275000.625
25	31	32.5196337	102.1631621	830.5748741	57	2	31	1063307.557	57	25	31	-156	-5961152	1275049.125
26	32	69.2177821	217.454132	3762.924154	40	2	32	1063132.589	40	26	32	-156	-5960983	1275041.5
27	33	17.3328743	54.45285921	235.9562651	47	2	33	1063189.008	47	27	33	-156	-5961036	1275013.625
28	34	11.47160121	36.03936509	103.3580718	56	2	34	1063278.335	56	28	34	-156	-5961094.5	1275079
29	35	67.46875777	211.9591687	3575.15233	27	2	35	1063031.881	27	29	35	-147	-5960891	1275005.25
30	36	28.8284242	90.56703812	652.725329	30	2	36	1063063.229	30	30	36	-156	-5960923.5	1274985.75
31	37	54.93694844	172.5895814	2370.387165	22	2	37	1063003.767	22	31	37	-147	-5960833.5	1275037.125
32	38	154.7553754	486.1784067	18809.68264	29	2	38	1063062.305	29	32	38	-187	-5961394	1274230.375
33	39	103.3168362	324.5796166	8383.640013	18	2	39	1062947.053	18	33	39	-184	-5961332	1274081.25
34	40	82.61578094	259.5450703	5360.628425	14	2	40	1062901.985	14	34	40	-184	-5961256	1274103.25
35	41	39.52925307	124.1845585	1227.228215	13	2	41	1062897.262	13	35	41	-184	-5961133	1274281.125
36	42	32.87387775	103.2765282	848.776597	16	2	42	1062937.112	16	36	42	-184	-5961188	1274246.5
37	43	19.52569533	61.34208458	299.4381955	15	2	43	1062929.849	15	37	43	-184	-5961163.5	1274267.375
38	44	53.62087399	168.455104	2258.179622	2	2	44	1062769.993	2	38	44	-184	-5960921.5	1274423.5
