OBJECTID	Color	ORIG_FID	MBG_Diameter	Shape_Length	Shape_Area	X	Y	OBJECTID_1	IN_FID	NEAR_FID	NEAR_DIST	NEAR_RANK	OBJECTID_12	Color_1	ORIG_FID_1	RASTERVALU	X_1	Y_1
1	2	1	12.4191796	39.01575245	121.1351301	-5914197	1195603.375	76	2	1	981133.313	76	1	2	1	-258	-5914197	1195603.625
2	2	2	93.76043715	294.5568278	6904.437842	-5914153.5	1195623.75	50	2	2	981077.5312	50	2	2	2	-258	-5914149.5	1195621.625
3	2	3	22.12490451	69.50755057	384.4626054	-5914143.5	1195576.5	46	2	3	981064.7091	46	3	2	3	-258	-5914143.5	1195576.25
4	1	4	104.8907759	329.5243237	8641.021602	-5914316	1195645.625	113	2	4	981217.0068	113	4	1	4	-258	-5914314	1195650.25
5	1	5	17.04861002	53.5599868	228.2816792	-5914258.5	1195639	109	2	5	981204.3985	109	5	1	5	-258	-5914258.5	1195639.75
6	2	6	7.359367501	23.12015247	42.53745706	-5914260	1195622.25	107	2	6	981203.1141	107	6	2	6	-258	-5914260	1195622.5
7	5	7	8.690057065	27.30075432	59.31157127	-5914256.5	1195627.875	106	2	7	981202.6483	106	7	5	7	-258	-5914256.5	1195628
8	2	8	5.434193302	17.0720428	23.19322375	-5914254	1195621.25	104	2	8	981197.8798	104	8	2	8	-258	-5914254	1195621.625
9	2	9	10.72838296	33.70394847	90.39651759	-5914246	1195622.875	99	2	9	981189.8394	99	9	2	9	-258	-5914246	1195622.625
10	1	10	8.876153567	27.88529263	61.87860992	-5914241	1195628.75	98	2	10	981188.296	98	10	1	10	-258	-5914241.5	1195629
11	2	11	6.855025115	21.53561764	36.90666474	-5914235	1195622.125	94	2	11	981179.8475	94	11	2	11	-258	-5914235	1195622.625
12	1	12	17.99578407	56.53547307	254.3502666	-5914214.5	1195632.25	84	2	12	981160.7323	84	12	1	12	-258	-5914214	1195631.125
13	5	13	9.933073457	31.20558557	77.4916323	-5914243.5	1195640.5	102	2	13	981195.7721	102	13	5	13	-258	-5914243.5	1195640
14	5	14	13.56709705	42.62252882	144.5667981	-5914231.5	1195638.625	95	2	14	981180.5787	95	14	5	14	-258	-5914232	1195638.875
15	1	15	18.92661456	59.459477	281.3405328	-5914203	1195585.125	74	2	15	981126.6653	74	15	1	15	-258	-5914202	1195585.5
16	2	16	7.485204129	23.51515097	44.00334369	-5914205	1195599.75	77	2	16	981141.8544	77	16	2	16	-258	-5914205	1195599.375
17	5	17	21.65170184	68.02062814	368.189511	-5914145.5	1195504.375	35	2	17	981033.4981	35	17	5	17	-258	-5914146	1195504.375
18	1	18	49.88025652	156.7032184	1954.096327	-5914161.5	1195691.125	75	2	18	981131.8867	75	18	1	18	-258	-5914161.5	1195690.75
19	1	19	9.3243968	29.29338243	68.28560772	-5914183	1195664.5	81	2	19	981150.2885	81	19	1	19	-258	-5914183.5	1195664.25
20	1	20	45.41619322	142.6793119	1619.989308	-5914115.5	1195683.25	48	2	20	981076.3292	48	20	1	20	-258	-5914113.5	1195684.5
21	1	21	36.63536489	115.0932432	1054.119367	-5914188.5	1195709	85	2	21	981160.908	85	21	1	21	-258	-5914187	1195709.875
22	1	22	32.98838951	103.6358972	854.6938114	-5914208	1195696.125	93	2	22	981175.0293	93	22	1	22	-258	-5914208	1195693.125
23	1	23	30.04550869	94.39072208	709.0041101	-5914271	1195697.125	118	2	23	981236.7042	118	23	1	23	-258	-5914264	1195692.25
24	1	24	11.59216629	36.41783529	105.5403161	-5914256	1195671.5	114	2	24	981220.1929	114	24	1	24	-258	-5914255.5	1195671.25
25	1	25	8.177589627	25.69068808	52.52204271	-5914256.5	1195678.375	116	2	25	981225.1049	116	25	1	25	-258	-5914256	1195678.625
