OBJECTID_1	OBJECTID	Shape_Leng	ORIG_FID	MBG_Diameter	Shape_Length	Shape_Area	OBJECTID_12	IN_FID	NEAR_FID	NEAR_DIST	NEAR_RANK	OBJECTID_12_13	OBJECTID_12_13_14	Shape_Leng_1	ORIG_FID_1	RASTERVALU	X	Y
1	1	56.86367399	1	18.10037261	56.86376951	257.3128218	643	2	1	773203.6165	643	1	1	29.73843916	1	-1890	-5936378.5	1024272.125
2	2	61.86813134	2	19.69328721	61.86823592	304.5969862	646	2	2	773213.5134	646	2	2	10.38697643	2	-1890	-5936389	1024262.563
3	3	34.13580872	3	14.31811368	44.98163778	161.012897	665	2	3	773281.4951	665	3	3	11.44043519	3	-1890	-5936452.5	1024281
4	4	17.76983963	4	7.462426445	23.44413518	43.73796468	641	2	4	773199.1087	641	4	4	12.26154585	4	-1890	-5936383	1024239.063
5	5	18.40460882	5	6.006443261	18.86966211	28.33468463	613	2	5	773117.6791	613	5	5	23.39877221	5	-1890	-5936313	1024208.813
6	6	19.74414866	6	7.67318013	24.10575459	46.24146637	620	2	6	773129.9461	620	6	6	54.00443998	6	-1890	-5936312.5	1024249.688
7	7	19.88282036	7	7.632626165	23.97883425	45.75581204	593	2	7	773082.381	593	7	7	22.0925013	7	-1890	-5936273.5	1024214.313
8	8	27.95481358	8	11.03663032	34.67250148	95.66663246	608	2	8	773095.262	608	8	8	12.49436504	8	-1890	-5936274	1024243.313
9	9	45.09128864	9	21.08736205	66.24770677	349.2463168	611	2	9	773107.1889	611	9	9	11.57765877	9	-1890	-5936304.5	1024194.438
10	10	9.477412183	10	3.016838118	9.477535826	7.147941764	616	2	10	773123.4815	616	10	10	13.75916076	10	-1890	-5936321.5	1024196
11	11	6.49194522	11	2.066514919	6.492054349	3.353933364	654	2	11	773231.7492	654	11	11	15.03598088	11	-1890	-5936402.5	1024279.938
12	12	35.04643736	12	14.46211664	45.43434127	164.2701326	642	2	12	773200.7314	642	12	12	12.39504165	12	-1890	-5936382.5	1024244.375
13	13	13.68304299	13	5.765570029	18.11316661	26.10831835	663	2	13	773268.031	663	13	13	16.75868594	13	-1890	-5936435	1024294.25
14	14	17.53896083	14	7.197407935	22.61129897	40.68564081	634	2	14	773180.1959	634	14	15	18.08891988	14	-1890	-5936330.5	1024329.125
15	15	17.01357172	15	6.368050986	20.00566202	31.84901394	632	2	15	773179.1621	632	15	16	11.61314333	15	-1890	-5936331	1024321.688
16	16	17.20646419	16	7.725108414	24.26943157	46.87155319	633	2	16	773179.7919	633	16	17	18.72551758	16	-1890	-5936327	1024336.938
17	17	35.82494636	17	14.87447987	46.72930577	173.7675964	625	2	17	773146.4581	625	17	18	9.261762007	17	-1890	-5936309.5	1024288.688
18	18	29.3967261	18	12.95684174	40.70530185	131.8536314	624	2	18	773142.3301	624	18	19	34.48070472	18	-1890	-5936285.5	1024344.688
19	19	23.89031831	19	10.05402549	31.5858867	79.39191586	560	2	19	773025.0363	560	19	20	13.70892152	19	-1908	-5936380.5	1023771
20	20	19.36761276	20	6.540776121	20.54821507	33.59992757	547	2	20	773002.6515	547	20	21	50.47855571	20	-1908	-5936348	1023811.5
21	21	16.95353712	21	5.396576031	16.95357734	22.87245805	549	2	21	773005.1108	549	21	22	43.09075556	21	-1908	-5936340.5	1023841.688
22	22	13.68102318	22	5.904107664	18.54827719	27.37772085	540	2	22	772994.4876	540	22	23	22.36576119	22	-1908	-5936333.5	1023814.938
23	23	9.91571894	23	3.955065892	12.4253131	12.28583896	527	2	23	772975.3765	527	23	24	20.29225678	23	-1908	-5936299	1023852.5
24	24	33.75186297	24	10.74362899	33.75192377	90.65404747	433	2	24	772876.5578	433	24	25	30.69219773	24	-1908	-5936183	1023891.938
25	25	27.76087829	25	12.18064387	38.26648348	116.5271822	430	2	25	772868.2525	430	25	26	12.10248547	25	-1908	-5936194	1023832.125
