OBJECTID	Id	ORIG_FID	MBG_Diameter	Shape_Length	Shape_Area	OBJECTID_1	IN_FID	NEAR_FID	NEAR_DIST	NEAR_RANK	OBJECTID_12	Id_1	ORIG_FID_1	RASTERVALU	X	Y
1		1	21.5712128	67.76774996	365.4569864	53	2	1	824423.7696	53	1		1	-677	-5698331.5	1261287.375
2		2	16.13478311	50.68897979	204.4641807	55	2	2	824442.5052	55	2		2	-667	-5698289	1261372.125
3		3	53.02617893	166.5867756	2208.366652	37	2	3	824259.652	37	3		3	-671	-5698300.5	1261090
4		4	32.13568533	100.9570832	811.0800616	63	2	4	824566.6104	63	4		4	-677	-5698473.5	1261340.875
5		5	27.46499005	86.28373889	592.4450126	62	2	5	824548.1706	62	5		5	-677	-5698464	1261315
6		6	51.79204805	162.7092387	2106.757565	41	2	6	824299.2999	41	6		6	-667	-5698294	1261163.75
7		7	25.36237511	79.67832952	505.2084162	45	2	7	824347.0134	45	7		7	-667	-5698276.5	1261239
8		8	16.97204172	53.31951792	226.2364431	57	2	8	824462.952	57	8		8	-667	-5698299	1261388.625
9		9	21.58405011	67.80850989	365.8967377	38	2	9	824272.025	38	9		9	-667	-5698263	1261139.125
10		10	25.31541838	79.53076509	503.3388549	46	2	10	824360.2436	46	10		10	-677	-5698327	1261197.375
11		11	8.050080855	25.29009044	50.89684956	51	2	11	824414.1675	51	11		11	-677	-5698343.5	1261245.625
12		12	22.35976876	70.24534354	392.6677352	48	2	12	824385.3945	48	12		12	-677	-5698311.5	1261253.75
13		13	48.69447843	152.9781264	1862.296432	42	2	13	824302.4451	42	13		13	-667	-5698076.5	1261457.5
14		14	29.40984036	92.39372249	679.32104	50	2	14	824397.4721	50	14		14	-667	-5698108.5	1261543.5
15		15	21.39987677	67.22999784	359.680034	35	2	15	824210.5904	35	15		15	-667	-5697945	1261456.375
16		16	50.82667802	159.6769156	2028.964302	18	2	16	823695.1758	18	16		16	-854	-5698731.5	1259629.75
17		17	41.0588141	128.9902565	1324.048667	24	2	17	823755.1908	24	17		17	-864	-5698819	1259603.5
18		18	55.65330633	174.8402455	2432.612597	13	2	18	823585.2345	13	18		18	-864	-5698744	1259444.5
19		19	38.45528074	120.8108378	1161.45377	16	2	19	823668.4132	16	19		19	-864	-5698808.5	1259478.375
20		20	57.71356948	181.3127607	2616.05504	15	2	20	823652.8808	15	20		20	-864	-5698760.5	1259530
21		21	25.14968177	79.01013372	496.7704218	17	2	21	823682.129	17	21		21	-864	-5698747.5	1259568.375
22		22	24.05004544	75.55557496	454.2795277	9	2	22	823538.0506	9	22		22	-854	-5698693.5	1259407.75
23		23	11.8325336	37.17311974	109.9633995	8	2	23	823536.9303	8	23		23	-854	-5698678.5	1259417.25
24		24	14.33381255	45.03084073	161.365336	10	2	24	823547.4269	10	24		24	-854	-5698687	1259425.875
25		25	18.25158777	57.33892498	261.6310165	11	2	25	823561.5642	11	25		25	-854	-5698709.5	1259418.875
26		26	13.76813418	43.25375713	148.8804973	12	2	26	823576.0669	12	26		26	-854	-5698716.5	1259431
27		27	17.65817427	55.47449855	244.8933017	14	2	27	823590.1665	14	27		27	-854	-5698688.5	1259493.875
28		28	16.86826352	52.99312985	223.4751702	7	2	28	823486.4238	7	28		28	-854	-5698700.5	1259314
29		29	73.27975242	230.2150277	4217.523151	19	2	29	823706.447	19	29		29	-864	-5698871	1259483.75
30		30	20.42487759	64.16671579	327.6496883	21	2	30	823737.7004	21	30		30	-854	-5698737	1259667
31		31	15.68347082	49.27135028	193.1875187	26	2	31	823793.3617	26	31		31	-864	-5698786	1259688.5
32		32	32.95882004	103.5434381	853.1694556	20	2	32	823730.0115	20	32		32	-864	-5698764.5	1259634.75
33		33	32.2597767	101.3468882	817.3554688	23	2	33	823745.8203	23	33		33	-864	-5698785.5	1259627.375
34		34	15.65552631	49.1833716	192.4982253	22	2	34	823738.831	22	34		34	-864	-5698784	1259598
35		35	19.97242342	62.74523841	313.2937157	27	2	35	823800.4797	27	35		35	-830	-5698640	1259888.875
36		36	22.97008447	72.16269741	414.396094	25	2	36	823782.6933	25	36		36	-830	-5698660	1259836.625
37		37	15.19414599	47.73408604	181.3206883	29	2	37	823846.749	29	37		37	-830	-5698699	1259884.25
38		38	16.69756072	52.45674237	218.9741099	28	2	38	823841.1113	28	38		38	-830	-5698671	1259914.75
39		39	27.86063253	87.5267644	609.6377961	30	2	39	823860.9793	30	39		39	-830	-5698692.5	1259928.5
40		40	18.03185776	56.64857041	255.368923	31	2	40	823887.8941	31	40		40	-830	-5698658.5	1260007
41		41	26.81801652	84.25106389	564.8601323	97	2	41	824893.3876	97	41		41	-691	-5698457	1261866.625
42		42	29.7810072	93.55953371	696.572353	100	2	42	824905.7359	100	42		42	-691	-5698552	1261768.375
43		43	16.48567291	51.79115289	213.4525234	93	2	43	824871.4197	93	43		43	-691	-5698515	1261753.125
44		44	40.05195487	125.8267231	1259.899516	92	2	44	824867.7458	92	44		44	-685	-5698282	1262066.625
45		45	16.61927517	52.21088765	216.9263404	112	2	45	825021.5053	112	45		45	-685	-5698319.5	1262248.125
46		46	73.14246206	229.7837746	4201.736896	106	2	46	824929.3967	106	46		46	-685	-5698290.5	1262181.5
47		47	13.30502298	41.79904545	139.0345911	155	2	47	829237.9008	155	47		47	-911	-5699030	1267972.375
48		48	11.57683334	36.36959569	105.2609008	161	2	48	829253.5766	161	48		48	-911	-5699055	1267964
49		49	15.31609402	48.11668776	184.2390068	166	2	49	829287.4921	166	49		49	-911	-5699108	1267952.125
50		50	18.11415179	56.90717447	257.7057931	174	2	50	829355.1604	174	50		50	-911	-5699154	1267999.5
51		51	30.71005818	96.47862455	740.7170519	172	2	51	829343.6549	172	51		51	-924	-5699110	1268052.125
52		52	12.23127715	38.42587684	117.4999573	150	2	52	829164.9868	150	52		52	-911	-5699016	1267873
53		53	16.93275276	53.19553597	225.1855475	148	2	53	829139.5891	148	53		53	-911	-5698926.5	1267953.5
54		54	15.51123263	48.72984743	188.9645072	154	2	54	829233.2751	154	54		54	-911	-5698992.5	1268016
55		55	12.51874577	39.32857085	123.0853786	153	2	55	829231.3141	153	55		55	-911	-5699005	1267994.125
56		56	11.94160712	37.51588929	112.0006717	138	2	56	829000.0238	138	56		56	-912	-5698727	1267989.875
57		57	9.263686663	29.10267788	67.39940161	133	2	57	828960.6283	133	57		57	-912	-5698693.5	1267968.875
58		58	8.368069593	26.28909742	54.99731502	136	2	58	828971.6966	136	58		58	-912	-5698700.5	1267975.875
59		59	9.241022436	29.03133955	67.06937923	122	2	59	828883.87	122	59		59	-912	-5698650.5	1267901.875
60		60	6.207849089	19.50228606	30.2664288	125	2	60	828934.3353	125	60		60	-912	-5698699.5	1267917.875
61		61	10.63353475	33.40649351	88.80796557	129	2	61	828946.3813	129	61		61	-912	-5698675.5	1267967.5
62		62	6.427216974	20.19186816	32.44465345	126	2	62	828939.2426	126	62		62	-912	-5698657	1267980.125
63		63	4.909979752	15.42510085	18.93416513	127	2	63	828942.1761	127	63		63	-912	-5698694	1267935.75
64		64	5.367888129	16.86375521	22.63073789	128	2	64	828944.743	128	64		64	-912	-5698731	1267892.25
65		65	5.601638082	17.59797722	24.64425185	130	2	65	828953.3688	130	65		65	-912	-5698679	1267973.875
66		66	4.728157464	14.85415199	17.55843736	131	2	66	828957.359	131	66		66	-912	-5698677.5	1267979.875
67		67	28.14744787	88.42785479	622.2548851	144	2	67	829046.4012	144	67		67	-911	-5698869.5	1267892.125
68		68	9.62536564	30.23877177	72.76431248	149	2	68	829142.176	149	68		68	-911	-5698917	1267965.25
69		69	6.169872807	19.38293746	29.89711794	134	2	69	828963.0901	134	69		69	-911	-5698856	1267760.375
70		70	3.533068893	11.0995291	9.803908386	135	2	70	828966.0438	135	70		70	-911	-5698862	1267755.375
71		71	23.57467941	74.06225009	436.4996909	147	2	71	829128.1188	147	71		71	-924	-5698855.5	1268033.375
72		72	16.42772426	51.60914164	211.954874	145	2	72	829053.309	145	72		72	-911	-5698769.5	1268019.625
73		73	11.20435958	35.19938162	98.59620604	146	2	73	829083.9452	146	73		73	-911	-5698835.5	1267980
74		74	17.38091899	54.60365937	237.2649755	143	2	74	829021.4719	143	74		74	-912	-5698725	1268029.375
75		75	14.49398022	45.53432859	164.9939464	123	2	75	828895.2063	123	75		75	-912	-5698654	1267917.875
76		76	14.10448695	44.31067097	156.2452376	124	2	76	828904.0212	124	76		76	-912	-5698722.5	1267846.125
77		77	11.94664562	37.53135656	112.0930433	119	2	77	828845.7375	119	77		77	-912	-5698654	1267839.5
78		78	22.158658	69.61360913	385.6367702	152	2	78	829209.6606	152	78		78	-924	-5698929	1268061.5
79		79	14.69937698	46.17970557	169.7041471	156	2	79	829243.8427	156	79		79	-924	-5698980	1268046.75
80		80	19.44426322	61.08575502	296.9409052	168	2	80	829293.9765	168	80		80	-924	-5699029	1268063.25
81		81	22.92385229	72.01767229	412.7321469	165	2	81	829282.9412	165	81		81	-924	-5698908.5	1268208
82		82	12.91317837	40.56824642	130.9672194	164	2	82	829280.1635	164	82		82	-924	-5698926.5	1268171.125
83		83	7.299067054	22.93079894	41.84354865	169	2	83	829302.6175	169	83		83	-924	-5698946.5	1268178
84		84	11.66799075	36.65610308	106.9258527	167	2	84	829287.7111	167	84		84	-924	-5698944.5	1268161
85		85	23.12892698	72.66155921	420.1453505	171	2	85	829330.452	171	85		85	-911	-5699115.5	1268015.75
86		86	7.521307084	23.6289729	44.43035922	175	2	86	829365.1316	175	86		86	-911	-5699137	1268030.375
87		87	7.94923795	24.97297544	49.62845052	151	2	87	829190.0062	151	87		87	-911	-5698986.5	1267950.125
88		88	11.40871794	35.84150824	102.2263112	157	2	88	829248.5657	157	88		88	-911	-5699112	1267882.5
89		89	8.515116531	26.75112428	56.94744108	158	2	89	829249.6375	158	89		89	-911	-5699098	1267898.125
90		90	8.144165446	25.58574034	52.09380887	159	2	90	829253.3221	159	90		90	-911	-5699097	1267906.75
91		91	7.283644029	22.88194669	41.66544982	162	2	91	829265.9514	162	91		91	-911	-5699075	1267954
92		92	11.60243678	36.45002534	105.7269746	163	2	92	829275.775	163	92		92	-911	-5699089.5	1267954
93		93	5.660468188	17.78285572	25.16478044	170	2	93	829304.0647	170	93		93	-911	-5699087	1267997.125
94		94	7.893661352	24.79852731	48.93751551	173	2	94	829343.7192	173	94		94	-911	-5699159.5	1267967.375
95		95	6.260992765	19.66961205	30.7880175	160	2	95	829253.5121	160	95		95	-911	-5699011	1268016.25
96		96	9.351134528	29.37715409	68.67672527	176	2	96	829428.1498	176	96		96	-924	-5699177.5	1268077.25
97		97	69.61658534	218.7069727	3806.4085	118	2	97	828608.6292	118	97		97	-740	-5700046.5	1265693.5
98		98	32.30791044	101.4981851	819.7976884	5	2	98	822527.1822	5	98		98	-739	-5697033	1259991.875
99		99	32.18221336	101.1031834	813.4292711	6	2	99	822609.4135	6	99		99	-739	-5697071.5	1260067.375
100		100	45.53631714	143.0562757	1628.560756	4	2	100	822373.3648	4	100		100	-715	-5696911.5	1259914
101		101	132.2789839	415.566758	13742.68957	3	2	101	821395.1203	3	101		101	-879	-5697650.5	1257461.875
102	0	102	28.87629734	90.71725778	654.8924198	73	2	102	824781.471	73	102	0	102	-685	-5698032	1262242.625
103	0	103	15.55874709	48.87902856	190.1232668	83	2	103	824826.553	83	103	0	103	-685	-5697998	1262357.375
104	0	104	13.22535268	41.54867082	137.3739563	80	2	104	824810.3522	80	104	0	104	-685	-5697993.5	1262336.125
105	0	105	13.76452992	43.24276624	148.8048451	86	2	105	824829.8369	86	105	0	105	-685	-5697935.5	1262443
106	0	106	10.49944137	32.98483791	86.58025178	107	2	106	824933.7888	107	106	0	106	-650	-5698026	1262485.625
107	0	107	17.46323898	54.86257499	239.5204014	98	2	107	824898.2766	98	107	0	107	-685	-5698024.5	1262434.625
108	0	108	30.97023078	97.2957528	753.3172309	95	2	108	824887.3916	95	108	0	108	-658	-5697843.5	1262665.25
109	0	109	24.80294816	77.92060843	483.1642647	81	2	109	824811.2291	81	109	0	109	-658	-5697838.5	1262549.125
110	0	110	6.392156867	20.08182407	32.0919755	137	2	110	828982.587	137	110	0	110	-912	-5698733	1267950.625
111	0	111	10.17580047	31.96791439	81.32400209	141	2	111	829010.874	141	111	0	111	-911	-5698752.5	1267972.625
112	0	112	7.425111692	23.32695377	43.30182428	121	2	112	828876.3242	121	112	0	112	-912	-5698626.5	1267921.875
113	0	113	13.23790198	41.58840355	137.6368215	120	2	113	828870.5916	120	113	0	113	-912	-5698609.5	1267937.5
114	0	114	5.722221382	17.97659786	25.71610216	132	2	114	828958.8457	132	114	0	114	-912	-5698711.5	1267940.375
115	0	115	6.43578155	20.21871997	32.53100276	142	2	115	829018.4556	142	115	0	115	-911	-5698763	1267968.125
116	0	116	83.402862	262.0178829	5463.261674	1	2	116	820628.7139	1	116	0	116	-822	-5696716	1257426.75
117	0	117	68.65020639	215.670964	3701.463703	2	2	117	821193.3165	2	117	0	117	-804	-5696795.5	1258218
118	0	118	13.17528766	41.39111153	136.3340432	72	2	118	824751.397	72	118	0	118	-685	-5698004.5	1262227.125
119	0	119	17.07655512	53.64740695	229.0274862	78	2	119	824797.3613	78	119	0	119	-685	-5698049.5	1262245.25
120	0	120	50.50117014	158.6541989	2003.056858	58	2	120	824467.372	58	120	0	120	-676	-5697702.5	1262197
121	0	121	39.85447528	125.2062903	1247.505394	34	2	121	824206.7628	34	121	0	121	-677	-5697661.5	1261836
122	0	122	51.33783101	161.2824553	2069.971609	40	2	122	824289.2845	40	122	0	122	-667	-5698028.5	1261476.625
123	0	123	42.00171469	131.9520695	1385.551101	44	2	123	824322.517	44	123	0	123	-667	-5698049	1261507
124	0	124	16.4090444	51.55070801	211.4751807	82	2	124	824817.0399	82	124	0	124	-685	-5698050.5	1262270.375
125	0	125	24.35755567	76.52134306	465.9671534	85	2	125	824829.6832	85	125	0	125	-685	-5698067.5	1262278.75
126	0	126	39.0880887	122.7985736	1199.987662	79	2	126	824807.1089	79	126	0	126	-685	-5697943	1262417.125
127	0	127	24.12670133	75.79637104	457.1797251	111	2	127	825012.8495	111	127	0	127	-650	-5698070	1262565
128	0	128	39.26979091	123.3697152	1211.17601	105	2	128	824928.4102	105	128	0	128	-650	-5697885.5	1262672.125
129	0	129	42.26464294	132.7780148	1402.950919	75	2	129	824787.6771	75	129	0	129	-658	-5697723.5	1262670.875
130	0	130	108.9410402	342.2482769	9321.218245	67	2	130	824656.1043	67	130	0	130	-676	-5697799	1262393.875
131	0	131	23.46171099	73.70741852	432.327178	139	2	131	829006.5947	139	131	0	131	-911	-5698788.5	1267929.5
132	0	132	27.22751633	85.53752631	582.241972	110	2	132	824986.8801	110	132	0	132	-650	-5698041	1262560.75
133	0	133	81.15401479	254.9528102	5172.61009	54	2	133	824433.0304	54	133	0	133	-676	-5697706.5	1262149.125
134	0	134	12.81976647	40.2745895	129.0780456	59	2	134	824505.1205	59	134	0	134	-676	-5697716	1262214.875
135	0	135	9.287971462	29.17879841	67.75244043	64	2	135	824568.5226	64	135	0	135	-676	-5697787	1262220
136	0	136	11.55386348	36.2977621	104.8455098	61	2	136	824541.8631	61	136	0	136	-676	-5697780	1262188.375
137	0	137	7.528051887	23.64979977	44.50871666	60	2	137	824532.7014	60	137	0	137	-676	-5697730.5	1262235.5
138	0	138	20.67298747	64.94614493	335.6579135	36	2	138	824235.0134	36	138	0	138	-677	-5697544.5	1262012.125
139	0	139	12.79513963	40.19711666	128.5819301	39	2	139	824287.5931	39	139	0	139	-677	-5697685.5	1261910.625
140	0	140	11.1093	34.9005811	96.92938389	43	2	140	824302.5899	43	140	0	140	-677	-5697696	1261919.375
141	0	141	10.34626797	32.50375945	84.07315134	47	2	141	824380.7913	47	141	0	141	-677	-5697770.5	1261945.125
142	0	142	9.809903188	30.81870977	75.58211526	49	2	142	824388.228	49	142	0	142	-677	-5697785.5	1261936.75
143	0	143	14.66036093	46.05700494	168.8035288	52	2	143	824419.0892	52	143	0	143	-677	-5697797	1261974.5
144	0	144	14.56181266	45.7472439	166.5405541	56	2	144	824460.8405	56	144	0	144	-677	-5697852	1261963.75
145	0	145	20.12777916	63.23334861	318.1870485	33	2	145	824137.4552	33	145	0	145	-677	-5697519	1261889.125
146	0	146	34.77798445	109.2583093	949.9463703	32	2	146	824093.2173	32	146	0	146	-666	-5697806	1261463.125
147	0	147	15.15370578	47.60675259	180.3546117	69	2	147	824697.4383	69	147	0	147	-685	-5697891	1262292
148	0	148	12.4035489	38.96674448	120.8310038	71	2	148	824745.129	71	148	0	148	-685	-5697931.5	1262311.375
149	0	149	6.897553827	21.66959454	37.36729897	74	2	149	824784.6184	74	149	0	149	-685	-5697964	1262328.25
150	0	150	9.132251443	28.69011913	65.50204201	90	2	150	824863.446	90	150	0	150	-685	-5698044.5	1262349.875
151	0	151	5.290218318	16.6194375	21.97975144	89	2	151	824861.456	89	151	0	151	-685	-5698046.5	1262341
152	0	152	12.22906322	38.41853656	117.4550709	65	2	152	824615.6016	65	152	0	152	-676	-5697833	1262236.25
153	0	153	14.09337627	44.27540774	155.996651	84	2	153	824827.9811	84	153	0	153	-685	-5697959	1262409.5
154	0	154	6.191989527	19.45242755	30.11187155	103	2	154	824916.1481	103	154	0	154	-685	-5698048.5	1262425.875
155	0	155	10.99684682	34.54746609	94.97789378	77	2	155	824794.1796	77	155	0	155	-685	-5697894.5	1262434
156	0	156	12.94201501	40.65880628	131.5525842	101	2	156	824906.1566	101	156	0	156	-650	-5697988	1262493
157	0	157	7.55745315	23.74258648	44.85864933	99	2	157	824903.3008	99	157	0	157	-685	-5698018.5	1262446
158	0	158	10.05130238	31.57700066	79.34725159	91	2	158	824866.8046	91	158	0	158	-658	-5697860.5	1262596.125
159	0	159	9.320354669	29.28058601	68.22596146	96	2	159	824888.3672	96	159	0	159	-658	-5697870.5	1262616.5
160	0	160	10.69864423	33.61064317	89.89670675	109	2	160	824985.2034	109	160	0	160	-650	-5697979.5	1262628.5
161	0	161	24.22662944	76.11042274	460.9760946	104	2	161	824922.6131	104	161	0	161	-658	-5697829	1262733.25
162	0	162	12.97158745	40.75116911	132.1509475	94	2	162	824874.578	94	162	0	162	-658	-5697832.5	1262646.125
163	0	163	8.189175395	25.72713056	52.67115439	102	2	163	824909.4403	102	163	0	163	-650	-5697886	1262626.125
164	0	164	20.30032693	63.77527335	323.6642954	108	2	164	824980.6579	108	164	0	164	-650	-5697949.5	1262658.625
