OBJECTID	ORIG_FID	MBG_Diameter	Shape_Length	Shape_Area	OBJECTID_1	IN_FID	NEAR_FID	NEAR_DIST	NEAR_RANK	OBJECTID_12	ORIG_FID_1	RASTERVALU	X	Y	OBJECTID_12_13	Shape_Length_1	Shape_Area_1	Color
1	1	29.26686023	91.94434086	672.7289903	63	2	1	884032.2515	63	1	1	-757	-5730052	1313855.125	1	75.69111591	420.2615426	
2	2	24.3401305	76.46673387	465.302319	62	2	2	883993.9643	62	2	2	-744	-5730038.5	1313816.75	2	74.88138184	445.9152039	
3	3	9.125114472	28.66739579	65.39832437	61	2	3	883990.9645	61	3	3	-744	-5730015.5	1313828.625	3	24.73723426	46.71307839	
4	4	18.82116128	59.12822232	278.2145126	60	2	4	883967.5872	60	4	4	-744	-5730006.5	1313809.5	4	49.25457116	180.022371	
5	5	45.59728715	143.2483682	1632.937275	133	2	5	884813.0828	133	5	5	-760	-5730731.5	1314230.75	5	101.5864958	545.1840972	
6	6	20.03381775	62.93826821	315.2243179	135	2	6	884827.527	135	6	6	-760	-5730703.5	1314266.375	6	50.30455846	179.2901661	
7	7	16.38704016	51.48116732	210.9050154	139	2	7	884846.0383	139	7	7	-760	-5730761.5	1314220.75	7	43.53386528	142.466955	
8	8	18.6719812	58.65966883	273.8226377	137	2	8	884829.5163	137	8	8	-760	-5730748	1314209.625	8	49.12949337	179.9850958	
9	9	11.1772169	35.11419348	98.11954633	148	2	9	884876.8024	148	9	9	-760	-5730802	1314212.875	9	34.19593881	92.95572508	
10	10	13.83834503	43.47429818	150.4025832	149	2	10	884889.4579	149	10	10	-760	-5730793.5	1314242.625	10	37.89332172	110.2959629	
11	11	14.80345594	46.50657308	172.1150367	150	2	11	884890.1544	150	11	11	-760	-5730801.5	1314230.75	11	34.08780307	69.06636576	
12	12	19.30137382	60.63721488	292.5961633	151	2	12	884892.0961	151	12	12	-760	-5730828.5	1314206.25	12	51.82459074	203.5440783	
13	13	25.36624691	79.69055365	505.3634447	154	2	13	884909.6462	154	13	13	-760	-5730867	1314188.375	13	66.67509957	331.1974889	
14	14	22.83643722	71.74280043	409.5875867	143	2	14	884859.018	143	14	14	-760	-5730864.5	1314117	14	66.68396261	350.7386291	
15	15	33.72622185	105.954141	893.3589772	155	2	15	884948.4765	155	15	15	-762	-5730931.5	1314173.25	15	80.86520284	429.2756605	
16	16	33.03264107	103.7752632	856.9940831	132	2	16	884804.4629	132	16	16	-760	-5730697	1314242.625	16	79.43302106	416.6124726	
17	17	21.03763608	66.09146839	347.6009365	124	2	17	884790.5696	124	17	17	-760	-5730691	1314223.5	17	53.25850575	203.0940007	
